Wavelength,7.5 V,8.0 V,8.5 V,9.0 V,9.5 V,10.0 V,10.5 V,11.0 V,11.5 V,12.0 V
350,0.00000047,0.0000105,0.0000185,0.0000391,0.0000163,0.0000779,0.0000599,0.0000197,0.00013318,0.0000846
351,0.00000013,0.00000704,0.0000299,0.0000313,0.0000474,0.0000775,0.0000953,0.0000747,0.0000637,0.00010006
352,0.00000022,0.00000489,0.0000265,0.0000335,0.0000459,0.0000707,0.0000751,0.0000734,0.0001236,0.00010519
353,0.00000007,0.00000574,0.0000224,0.0000275,0.0000513,0.0000551,0.0000633,0.0000561,0.00010952,0.00010857
354,0.00000035,0.00000622,0.0000294,0.0000308,0.0000337,0.0000804,0.0000564,0.000081,0.0000849,0.00012664
355,0.00000034,0.00000817,0.0000277,0.0000411,0.0000522,0.0000689,0.0000754,0.0000805,0.00012776,0.00013968
356,0.00000014,0.00000952,0.0000354,0.0000313,0.0000673,0.0000974,0.00010671,0.0000957,0.00011384,0.00010191
357,0.00000035,0.00000687,0.0000171,0.0000328,0.0000475,0.000059,0.0000774,0.0000785,0.0000763,0.00010301
358,0.00000035,0.0000101,0.0000221,0.0000355,0.000061,0.0000683,0.00009,0.0000701,0.0000991,0.00010966
359,0.00000014,0.00000977,0.0000333,0.0000292,0.0000413,0.0000768,0.0000789,0.0000903,0.0000975,0.00010031
360,0.00000034,0.00000754,0.0000265,0.0000463,0.0000709,0.0000618,0.00010224,0.000061,0.00012367,0.00012128
361,0.00000025,0.00000925,0.0000239,0.000052,0.000068,0.0000901,0.00010647,0.00011792,0.00014593,0.00012049
362,0.00000019,0.00000877,0.0000213,0.0000495,0.0000468,0.000075,0.0000771,0.0000647,0.00011106,0.00013205
363,0.00000047,0.00000704,0.0000153,0.0000345,0.0000631,0.0000588,0.0000709,0.000103,0.00011971,0.00011792
364,0.00000002,0.00000977,0.0000269,0.0000471,0.0000518,0.0000883,0.0000966,0.0000947,0.00010893,0.00012955
365,0.00000031,0.00000825,0.0000339,0.0000522,0.0000551,0.0000614,0.00010096,0.0000935,0.0001632,0.00014339
366,0.00000051,0.00000721,0.0000222,0.0000577,0.0000504,0.0000858,0.00012318,0.0000977,0.00015831,0.00010107
367,0.00000028,0.00000892,0.0000141,0.0000335,0.0000635,0.0000909,0.0000971,0.000098,0.00012942,0.00012816
368,0.00000043,0.00000815,0.0000373,0.0000527,0.0000687,0.0000865,0.0001157,0.0000931,0.00016985,0.0000965
369,0.0000005,0.0000094,0.0000239,0.000035,0.000055,0.0000827,0.0000974,0.0000997,0.00018846,0.00015155
370,0.0000004,0.00000811,0.0000211,0.0000402,0.0000696,0.0000931,0.0000968,0.0000923,0.00013638,0.00012888
371,0.00000028,0.0000078,0.0000249,0.0000311,0.0000493,0.0000776,0.0000914,0.0000737,0.00014585,0.00011698
372,0.00000033,0.00000607,0.0000282,0.0000414,0.0000596,0.000056,0.0000993,0.0000591,0.000146,0.00011784
373,0.00000088,0.00000765,0.0000211,0.0000491,0.0000519,0.0000694,0.0000956,0.0000925,0.00014544,0.00013267
